1,0.0263,0.1236,0.0241,0.1139,0.0242,0.1171,0.0870,0.0590
2,0.0235,0.1181,0.0232,0.1168,0.0242,0.1203,0.1478,0.0665
3,0.0225,0.1153,0.0227,0.1092,0.0223,0.1126,0.1084,0.1353
4,0.0222,0.1141,0.0227,0.1159,0.0234,0.1188,0.1178,0.1244
5,0.0207,0.1114,0.0255,0.1247,0.0266,0.1265,0.1953,0.1564
6,0.0204,0.1110,0.0240,0.1214,0.0248,0.1231,0.1913,0.1586
7,0.0198,0.1102,0.0228,0.1122,0.0227,0.1129,0.2558,0.2035
8,0.0189,0.1064,0.0225,0.1096,0.0225,0.1126,0.1903,0.1642
9,0.0185,0.1056,0.0218,0.1106,0.0229,0.1154,0.3526,0.2585
10,0.0180,0.1039,0.0264,0.1279,0.0283,0.1309,0.2688,0.1885
11,0.0177,0.1037,0.0248,0.1190,0.0251,0.1210,0.2402,0.1875
12,0.0166,0.0996,0.0226,0.1125,0.0229,0.1161,0.2705,0.2036
13,0.0165,0.0994,0.0224,0.1135,0.0233,0.1176,0.3130,0.2410
14,0.0154,0.0961,0.0222,0.1125,0.0235,0.1184,0.3119,0.2189
15,0.0152,0.0939,0.0247,0.1191,0.0250,0.1220,0.3077,0.2380
16,0.0148,0.0953,0.0254,0.1207,0.0250,0.1221,0.2393,0.2470
17,0.0145,0.0939,0.0243,0.1195,0.0259,0.1238,0.3501,0.2920
18,0.0137,0.0910,0.0233,0.1162,0.0252,0.1230,0.3385,0.2515
19,0.0128,0.0875,0.0258,0.1242,0.0281,0.1300,0.3454,0.2905
20,0.0127,0.0867,0.0231,0.1139,0.0247,0.1205,0.2777,0.2158
21,0.0125,0.0865,0.0238,0.1161,0.0232,0.1171,0.2903,0.2715
22,0.0121,0.0857,0.0253,0.1210,0.0255,0.1231,0.2950,0.2684
23,0.0111,0.0818,0.0259,0.1219,0.0251,0.1205,0.2793,0.2087
24,0.0109,0.0805,0.0261,0.1225,0.0266,0.1266,0.3137,0.2558
25,0.0106,0.0791,0.0247,0.1184,0.0243,0.1206,0.2417,0.2387
26,0.0099,0.0773,0.0246,0.1179,0.0247,0.1207,0.2702,0.2211
27,0.0095,0.0746,0.0261,0.1220,0.0268,0.1282,0.2915,0.2750
28,0.0094,0.0733,0.0262,0.1236,0.0253,0.1236,0.2838,0.2868
29,0.0079,0.0684,0.0265,0.1265,0.0272,0.1284,0.3103,0.2811
30,0.0083,0.0702,0.0293,0.1306,0.0320,0.1360,0.3076,0.2463
31,0.0078,0.0684,0.0252,0.1229,0.0263,0.1259,0.2910,0.2423
32,0.0075,0.0669,0.0277,0.1276,0.0280,0.1308,0.3239,0.2950
33,0.0075,0.0663,0.0322,0.1379,0.0310,0.1382,0.2486,0.2654
34,0.0069,0.0652,0.0287,0.1286,0.0291,0.1318,0.2588,0.2288
35,0.0069,0.0644,0.0346,0.1407,0.0335,0.1427,0.3061,0.2561
36,0.0062,0.0612,0.0268,0.1247,0.0271,0.1273,0.2946,0.2724
37,0.0061,0.0594,0.0251,0.1205,0.0255,0.1232,0.2926,0.2935
38,0.0059,0.0596,0.0310,0.1351,0.0310,0.1368,0.2978,0.3001
39,0.0057,0.0575,0.0298,0.1343,0.0304,0.1366,0.2874,0.2556
40,0.0054,0.0570,0.0266,0.1253,0.0271,0.1285,0.2888,0.2701
41,0.0051,0.0553,0.0284,0.1319,0.0281,0.1313,0.3452,0.3101
42,0.0047,0.0518,0.0299,0.1334,0.0289,0.1333,0.2664,0.2903
43,0.0050,0.0542,0.0308,0.1376,0.0303,0.1368,0.3070,0.3084
44,0.0044,0.0517,0.0295,0.1319,0.0276,0.1287,0.2458,0.2351
45,0.0047,0.0523,0.0312,0.1387,0.0308,0.1385,0.2576,0.2539
46,0.0041,0.0495,0.0288,0.1303,0.0299,0.1342,0.3015,0.2790
47,0.0042,0.0507,0.0279,0.1294,0.0276,0.1299,0.2744,0.2641
48,0.0040,0.0485,0.0278,0.1270,0.0276,0.1291,0.2739,0.2636
49,0.0038,0.0481,0.0285,0.1289,0.0272,0.1275,0.2592,0.2652
50,0.0035,0.0461,0.0295,0.1334,0.0287,0.1322,0.2681,0.2856
